channel,u_change,u_spectral,u_surprise,m_peak,m_band,channel_effective_rank,m_channel,U,M,dataset,segment,window_start,window_stop,unit_id,U_bucket,M_bucket
0,0.5276575595019306,0.07235372418938454,0.17739096033552723,0.375,0.7808839507079023,2.599762711105206,0.2666271180731558,0.25913408134228083,0.47417035626035275,ETTm1,raw,0,96,raw:0:0,low,mid
1,0.9283689269485775,0.2625931134130315,0.5549970375759543,0.375,0.8497569437160151,2.599762711105206,0.2666271180731558,0.5819863593125211,0.49712802059639033,ETTm1,raw,0,96,raw:0:1,high,mid
2,0.748645922338044,0.43592047964477854,0.7334693977673536,0.625,0.9055818457856385,2.599762711105206,0.2666271180731558,0.639345266583392,0.5990696546195982,ETTm1,raw,0,96,raw:0:2,high,high
3,0.9137037446176263,0.2846653384562176,0.6038482992340518,0.625,0.9429833211645394,2.599762711105206,0.2666271180731558,0.6007391274359652,0.6115368130792317,ETTm1,raw,0,96,raw:0:3,high,high
4,0.893906381489747,0.179628196106902,0.05251090296516255,0.25,0.8086944722086653,2.599762711105206,0.2666271180731558,0.3753484935206038,0.4417738634272737,ETTm1,raw,0,96,raw:0:4,mid,mid
5,0.8516026860342725,0.20299141108881297,0.1520023516308035,0.25,0.843689082046781,2.599762711105206,0.2666271180731558,0.40219881625129633,0.45343873337331225,ETTm1,raw,0,96,raw:0:5,high,mid
6,0.8591755894636124,0.11600411481875933,0.11890393029831992,0.125,0.7967154101001807,2.599762711105206,0.2666271180731558,0.36469454486023056,0.3961141760577788,ETTm1,raw,0,96,raw:0:6,mid,mid
0,0.9911583062808234,0.09850281138488252,0.03298135260294685,0.125,0.827266455587288,3.2960491178311324,0.382674852334064,0.37421415675621755,0.44498043597378395,ETTm1,raw,96,192,raw:96:0,mid,mid
1,0.9578399809015338,0.16056889240042654,0.08507383196048098,0.25,0.8508929177862022,3.2960491178311324,0.382674852334064,0.4011609017541471,0.4945225900400887,ETTm1,raw,96,192,raw:96:1,high,mid
2,0.9886317987149352,0.055264475819211,0.02795523934834055,0.25,0.7771902972337561,3.2960491178311324,0.382674852334064,0.35728383796082896,0.46995504985594,ETTm1,raw,96,192,raw:96:2,mid,mid
3,0.9029406546600124,0.14402691568367534,0.19862184836743366,0.25,0.9358454397959846,3.2960491178311324,0.382674852334064,0.41519647290370715,0.5228400973766828,ETTm1,raw,96,192,raw:96:3,high,high
4,0.6688206819916018,0.08957043623758529,0.13315026968350296,0.375,0.8558284298160703,3.2960491178311324,0.382674852334064,0.29718046263756337,0.537834427383378,ETTm1,raw,96,192,raw:96:4,low,high
5,0.9327038677033387,0.08761265282282016,0.08892621145702138,0.375,0.9555371641175375,3.2960491178311324,0.382674852334064,0.36974757732772673,0.5710706721505338,ETTm1,raw,96,192,raw:96:5,mid,high
6,0.8593994800877658,0.22933327646531765,0.5897528884442433,0.25,0.8468304741286798,3.2960491178311324,0.382674852334064,0.5594952149991089,0.49316844215424793,ETTm1,raw,96,192,raw:96:6,high,mid
0,0.5580511727973447,0.36929913841219164,0.6445406067655738,0.375,0.9091011364351799,3.33607211244422,0.3893453514251277,0.5239636393250368,0.5578154959534358,ETTm1,raw,288,384,raw:288:0,high,high
1,0.46523984515564165,0.21633829396353838,0.3266315822916354,0.625,0.8744145446023037,3.33607211244422,0.3893453514251277,0.33606990713693846,0.6295866320091438,ETTm1,raw,288,384,raw:288:1,mid,high
2,0.7220372131122995,0.4403763289998909,0.8253186436569818,0.375,0.8859728779780385,3.33607211244422,0.3893453514251277,0.6625773952563908,0.550106076467722,ETTm1,raw,288,384,raw:288:2,high,high
3,0.48967806360899735,0.1719506877056765,0.4369161040756681,0.375,0.9476870690979123,3.33607211244422,0.3893453514251277,0.3661816184634474,0.57067747350768,ETTm1,raw,288,384,raw:288:3,mid,high
4,0.586904444931299,0.35998212153540526,0.5505106373031101,0.375,0.8847323117598413,3.33607211244422,0.3893453514251277,0.4991324012566048,0.5496925543949897,ETTm1,raw,288,384,raw:288:4,high,high
5,0.4897232899746783,0.22584973044478976,0.38036020686058436,0.125,0.9094329890357966,3.33607211244422,0.3893453514251277,0.3653110757600175,0.4745927801536414,ETTm1,raw,288,384,raw:288:5,mid,mid
6,0.7526966353554997,0.09429065168931272,0.08102921483761381,0.375,0.7583539065327276,3.33607211244422,0.3893453514251277,0.30933883396080875,0.5075664193192851,ETTm1,raw,288,384,raw:288:6,low,high
0,0.6848866068721706,0.36043402316161194,0.48867604940083487,1.0,0.9533336151105127,4.054873515435241,0.5091455850572975,0.5113322264782058,0.8208264000559368,ETTm1,raw,384,480,raw:384:0,high,high
1,0.4394994975481362,0.4521294538577179,0.5213431446576954,0.75,0.901245115320602,4.054873515435241,0.5091455850572975,0.4709906986878498,0.7201302334592997,ETTm1,raw,384,480,raw:384:1,high,high
2,0.8097958851431182,0.5416363695501661,0.39198358460401334,1.0,0.9185333216819066,4.054873515435241,0.5091455850572975,0.5811386130990992,0.8092263022464014,ETTm1,raw,384,480,raw:384:2,high,high
3,0.469853632766454,0.35886930080426127,0.33123812865098934,0.625,0.8671347709619941,4.054873515435241,0.5091455850572975,0.3866536874072349,0.6670934520064306,ETTm1,raw,384,480,raw:384:3,mid,high
4,0.4015751828357109,0.09431158586249494,0.8313157250677488,0.5,0.8558314105119739,4.054873515435241,0.5091455850572975,0.4424008312553182,0.6216589985230905,ETTm1,raw,384,480,raw:384:4,high,high
5,1.9542469565925202e-06,0.17641729519718058,0.6026815673244301,1.0,0.9773309954921087,4.054873515435241,0.5091455850572975,0.25970027225618914,0.828825526849802,ETTm1,raw,384,480,raw:384:5,low,high
6,0.7047380038716109,0.06755630716839656,0.07217544968874642,0.25,0.670781892782657,4.054873515435241,0.5091455850572975,0.28148992024291797,0.47664249261331815,ETTm1,raw,384,480,raw:384:6,low,mid
0,0.8160943072070304,0.1648671059707555,0.02994630350131116,0.375,0.930858107249824,3.359800080814987,0.3933000128136645,0.3369692388930323,0.5663860400211628,ETTm1,raw,576,672,raw:576:0,mid,high
1,0.8731426238509506,0.29860563324987155,0.06406766338593742,0.375,0.9788795335912567,3.359800080814987,0.3933000128136645,0.4119386401622532,0.5823931821349737,ETTm1,raw,576,672,raw:576:1,high,high
2,0.9248204757482426,0.21231741780159924,0.009362139438677716,0.125,0.9194979450567219,3.359800080814987,0.3933000128136645,0.38216667766283985,0.47926598595679554,ETTm1,raw,576,672,raw:576:2,mid,mid
3,0.850621219490368,0.23649374529456607,0.03206067470391132,0.375,0.9504411178669347,3.359800080814987,0.3933000128136645,0.37305854649628184,0.5729137102268664,ETTm1,raw,576,672,raw:576:3,mid,high
4,0.22577618068618144,0.14692821993026803,0.35176969512258954,0.25,0.7506551679324853,3.359800080814987,0.3933000128136645,0.24149136524634632,0.4646517269153833,ETTm1,raw,576,672,raw:576:4,low,mid
5,0.5260495696457215,0.3648267998512169,0.32679768996643316,0.75,0.9654897307396998,3.359800080814987,0.3933000128136645,0.4058913531544572,0.702929914517788,ETTm1,raw,576,672,raw:576:5,high,high
6,0.8885233272663997,0.09446451001236406,0.15740589393004437,0.125,0.6687069124464772,3.359800080814987,0.3933000128136645,0.3801312437362694,0.3956689750867139,ETTm1,raw,576,672,raw:576:6,mid,mid
0,0.3371293715582421,0.3328361400888248,0.46953987834860994,0.375,0.8982096498829654,2.9285639333032956,0.32142732168150373,0.37983512999855895,0.5315456571881564,ETTm1,raw,672,768,raw:672:0,mid,high
1,0.34496302371234067,0.3589179818413927,0.4340903037672898,0.5,0.9399472644082684,2.9285639333032956,0.32142732168150373,0.3793237697736744,0.587124862029924,ETTm1,raw,672,768,raw:672:1,mid,high
2,0.5434541905506393,0.21937977429938393,0.2169156645037392,0.25,0.7743247851561398,2.9285639333032956,0.32142732168150373,0.3265832097845875,0.44858403561254784,ETTm1,raw,672,768,raw:672:2,mid,mid
3,0.6755047949826558,0.2810648576445168,0.1732134599507118,0.125,0.8849861742111731,2.9285639333032956,0.32142732168150373,0.37659437085929476,0.4438044986308923,ETTm1,raw,672,768,raw:672:3,mid,mid
4,0.4076648112792065,0.29988083383853853,0.4864925803598244,1.0,0.9133277847349003,2.9285639333032956,0.32142732168150373,0.3980127418258565,0.744918368805468,ETTm1,raw,672,768,raw:672:4,high,high
5,0.4932966190179273,0.3405045894585549,0.4781585578297189,1.0,0.887957180599031,2.9285639333032956,0.32142732168150373,0.437319922102067,0.7364615007601781,ETTm1,raw,672,768,raw:672:5,high,high
6,0.7621475603863084,0.14663989339279215,0.09692336348002636,0.25,0.8076103186331146,2.9285639333032956,0.32142732168150373,0.33523693908637564,0.4596792134382061,ETTm1,raw,672,768,raw:672:6,mid,mid
0,0.87348787712713,0.06420886950856869,0.03607157789876787,0.125,0.6784743536403756,2.5723140013236265,0.26205233311718384,0.3245894415114889,0.35517556225251984,ETTm1,raw,864,960,raw:864:0,mid,low
1,0.8522444730656925,0.22181547448480293,0.12731827100861215,0.0,0.8473050747636371,2.5723140013236265,0.26205233311718384,0.40045940618636927,0.36978580262694033,ETTm1,raw,864,960,raw:864:1,high,mid
2,0.7863676081394817,0.05958837164991765,0.08656839348830585,0.125,0.6144317836463653,2.5723140013236265,0.26205233311718384,0.31084145775923505,0.333828038921183,ETTm1,raw,864,960,raw:864:2,low,low
3,0.8610290675011292,0.25451692820939453,0.1371190669076213,0.125,0.8484328457900666,2.5723140013236265,0.26205233311718384,0.417555020872715,0.4118283929690835,ETTm1,raw,864,960,raw:864:3,high,mid
4,0.9278540636891243,0.12047582564705449,0.060255856995557217,0.375,0.8953343164698068,2.5723140013236265,0.26205233311718384,0.36952858211057865,0.5107955498623302,ETTm1,raw,864,960,raw:864:4,mid,high
5,0.9416605776049374,0.1106807739715214,0.17899410093695176,0.375,0.9868447666538277,2.5723140013236265,0.26205233311718384,0.41044515083780353,0.5412990332570038,ETTm1,raw,864,960,raw:864:5,high,high
6,0.34045160824078247,0.061855604066927486,0.23174550468289123,0.125,0.750488883139849,2.5723140013236265,0.26205233311718384,0.21135090566353373,0.37918040541901094,ETTm1,raw,864,960,raw:864:6,low,mid
0,0.870608000792026,0.14055101154179775,0.010060399878104458,0.25,0.8427634635761388,2.8468830133263494,0.3078138350413685,0.3404064707373094,0.4668590995391691,ETTm1,raw,960,1056,raw:960:0,mid,mid
1,0.7542942454975693,0.2160576400860575,0.0837297980636219,0.625,0.9316308984874452,2.8468830133263494,0.3078138350413685,0.35136056121574955,0.6214815778429378,ETTm1,raw,960,1056,raw:960:1,mid,high
2,0.8013921113518857,0.27517426904603015,0.08499372643889962,0.125,0.8750513370205811,2.8468830133263494,0.3078138350413685,0.38718670227893853,0.4359550573539832,ETTm1,raw,960,1056,raw:960:2,mid,mid
3,0.49058422644343,0.383652807203966,0.183824467534752,0.625,0.9445235975607063,2.8468830133263494,0.3078138350413685,0.35268716706071607,0.6257791442006916,ETTm1,raw,960,1056,raw:960:3,mid,high
4,0.9428770627801445,0.15675040352865366,0.024472517165514428,0.5,0.8526000366297009,2.8468830133263494,0.3078138350413685,0.37469999449143754,0.553471290557023,ETTm1,raw,960,1056,raw:960:4,mid,high
5,0.8134511225296535,0.10179812361823129,0.03927543311464594,0.5,0.7785745393752207,2.8468830133263494,0.3078138350413685,0.31817489308751024,0.5287961248055297,ETTm1,raw,960,1056,raw:960:5,mid,high
6,0.8745796196333679,0.0709340707350759,0.06621096447189963,0.0,0.6760468250361925,2.8468830133263494,0.3078138350413685,0.33724155161344777,0.327953553359187,ETTm1,raw,960,1056,raw:960:6,mid,low
0,0.42354178853220703,0.1609302359380663,0.08144529587361739,0.125,0.7928922175408867,2.35829200582154,0.22638200059295338,0.22197244011463024,0.3814247393779467,ETTm1,raw,1056,1152,raw:1056:0,low,mid
1,0.6505202219132555,0.29735517900476827,0.17167318940098075,0.375,0.9294045146204852,2.35829200582154,0.22638200059295338,0.37318286343966817,0.5102621717378129,ETTm1,raw,1056,1152,raw:1056:1,mid,high
